id,kategori,sub_kategori,pertanyaan,opsiA,opsiB,opsiC,opsiD,kunci
21,Potensi Psikologis,Berpikir Sistem,"(Kelurahan A) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Mengoptimalkan komponen termudah terlebih dahulu,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,Fokus satu komponen dan abaikan lainnya,B
22,Potensi Psikologis,Penalaran Verbal,(Kelurahan B) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Bangunan dengan akses air bersih selalu layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,C
23,Potensi Psikologis,Berpikir Sistem,"(Kelurahan C) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Mengoptimalkan komponen termudah terlebih dahulu,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,Fokus satu komponen dan abaikan lainnya,B
24,Potensi Psikologis,Berpikir Sistem,"(Kecamatan X) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Menunda keputusan sampai semua data sempurna,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Fokus satu komponen dan abaikan lainnya,Mengoptimalkan komponen termudah terlebih dahulu,B
25,Potensi Psikologis,Penalaran Numerik,"(Kecamatan Y) Jika 12 pekerja menyelesaikan perbaikan bangunan sederhana dalam 9 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",20 hari,16 hari,18 hari,22 hari,C
26,Potensi Psikologis,Logika Analitik,(Kecamatan Z) Anda menerima dua penugasan prioritas terkait verifikasi SIMBG dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
27,Potensi Psikologis,Penalaran Verbal,(Desa 1) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,B
28,Potensi Psikologis,Penalaran Numerik,"(Desa 2) Jika 10 pekerja menyelesaikan pembangunan rumah dalam 15 hari, maka 5 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",30 hari,28 hari,34 hari,32 hari,A
29,Potensi Psikologis,Penalaran Numerik,"(Desa 3) Jika 8 pekerja menyelesaikan pembangunan rumah dalam 12 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",16 hari,18 hari,14 hari,20 hari,A
30,Potensi Psikologis,Berpikir Sistem,"(Desa 4) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Mengoptimalkan komponen termudah terlebih dahulu,Fokus satu komponen dan abaikan lainnya,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,C
31,Potensi Psikologis,Berpikir Sistem,"(Kelurahan A) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Mengoptimalkan komponen termudah terlebih dahulu,Fokus satu komponen dan abaikan lainnya,Menunda keputusan sampai semua data sempurna,A
32,Potensi Psikologis,Logika Analitik,(Kelurahan B) Anda menerima dua penugasan prioritas terkait site plan perumahan dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menjalankan salah satu penugasan tanpa komunikasi,Menunggu arahan atasan secara rinci,Mendelegasikan seluruh penugasan ke rekan lain,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
33,Potensi Psikologis,Logika Analitik,(Kelurahan C) Anda menerima dua penugasan prioritas terkait sinkronisasi GIS dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Menunggu arahan atasan secara rinci,Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,A
34,Potensi Psikologis,Logika Analitik,(Kecamatan X) Anda menerima dua penugasan prioritas terkait pengawasan pekerjaan dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,Menunggu arahan atasan secara rinci,A
35,Potensi Psikologis,Logika Analitik,(Kecamatan Y) Anda menerima dua penugasan prioritas terkait uji material dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Menunggu arahan atasan secara rinci,Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,A
36,Potensi Psikologis,Logika Analitik,(Kecamatan Z) Anda menerima dua penugasan prioritas terkait verifikasi SIMBG dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menunggu arahan atasan secara rinci,Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
37,Potensi Psikologis,Penalaran Verbal,(Desa 1) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Bangunan dengan akses air bersih selalu layak huni,B
38,Potensi Psikologis,Berpikir Sistem,"(Desa 2) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Mengoptimalkan komponen termudah terlebih dahulu,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,Fokus satu komponen dan abaikan lainnya,B
39,Potensi Psikologis,Berpikir Sistem,"(Desa 3) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Fokus satu komponen dan abaikan lainnya,Mengoptimalkan komponen termudah terlebih dahulu,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,C
40,Potensi Psikologis,Logika Analitik,(Desa 4) Anda menerima dua penugasan prioritas terkait uji material dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menjalankan salah satu penugasan tanpa komunikasi,Mendelegasikan seluruh penugasan ke rekan lain,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
41,Potensi Psikologis,Penalaran Numerik,"(Kelurahan A) Jika 12 pekerja menyelesaikan pembangunan rumah dalam 9 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",16 hari,20 hari,22 hari,18 hari,D
42,Potensi Psikologis,Penalaran Verbal,(Kelurahan B) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Bangunan dengan akses air bersih selalu layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,A
43,Potensi Psikologis,Logika Analitik,(Kelurahan C) Anda menerima dua penugasan prioritas terkait sinkronisasi GIS dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,B
44,Potensi Psikologis,Penalaran Verbal,(Kecamatan X) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Bangunan dengan akses air bersih selalu layak huni,A
45,Potensi Psikologis,Penalaran Verbal,(Kecamatan Y) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,B
46,Potensi Psikologis,Penalaran Verbal,(Kecamatan Z) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Bangunan dengan akses air bersih selalu layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,B
47,Potensi Psikologis,Penalaran Numerik,"(Desa 1) Jika 6 pekerja menyelesaikan pembangunan rumah dalam 12 hari, maka 4 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",18 hari,22 hari,20 hari,16 hari,A
48,Potensi Psikologis,Penalaran Verbal,(Desa 2) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Bangunan dengan akses air bersih selalu layak huni,B
49,Potensi Psikologis,Penalaran Numerik,"(Desa 3) Jika 6 pekerja menyelesaikan pembangunan rumah dalam 12 hari, maka 4 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",16 hari,20 hari,22 hari,18 hari,D
50,Potensi Psikologis,Penalaran Verbal,(Desa 4) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Bangunan dengan akses air bersih selalu layak huni,A
51,Potensi Psikologis,Logika Analitik,(Kelurahan A) Anda menerima dua penugasan prioritas terkait verifikasi SIMBG dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Menjalankan salah satu penugasan tanpa komunikasi,Mendelegasikan seluruh penugasan ke rekan lain,B
52,Potensi Psikologis,Logika Analitik,(Kelurahan B) Anda menerima dua penugasan prioritas terkait site plan perumahan dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menjalankan salah satu penugasan tanpa komunikasi,Mendelegasikan seluruh penugasan ke rekan lain,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Menunggu arahan atasan secara rinci,C
53,Potensi Psikologis,Berpikir Sistem,"(Kelurahan C) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Fokus satu komponen dan abaikan lainnya,Mengoptimalkan komponen termudah terlebih dahulu,Menunda keputusan sampai semua data sempurna,Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,D
54,Potensi Psikologis,Logika Analitik,(Kecamatan X) Anda menerima dua penugasan prioritas terkait pengawasan pekerjaan dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menunggu arahan atasan secara rinci,Menjalankan salah satu penugasan tanpa komunikasi,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Mendelegasikan seluruh penugasan ke rekan lain,C
55,Potensi Psikologis,Logika Analitik,(Kecamatan Y) Anda menerima dua penugasan prioritas terkait uji material dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
56,Potensi Psikologis,Logika Analitik,(Kecamatan Z) Anda menerima dua penugasan prioritas terkait verifikasi SIMBG dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menunggu arahan atasan secara rinci,Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
57,Potensi Psikologis,Penalaran Verbal,(Desa 1) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Bangunan dengan akses air bersih selalu layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,D
58,Potensi Psikologis,Penalaran Verbal,(Desa 2) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Bangunan dengan akses air bersih selalu layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,A
59,Potensi Psikologis,Logika Analitik,(Desa 3) Anda menerima dua penugasan prioritas terkait pengawasan pekerjaan dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menjalankan salah satu penugasan tanpa komunikasi,Menunggu arahan atasan secara rinci,Mendelegasikan seluruh penugasan ke rekan lain,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
60,Potensi Psikologis,Penalaran Verbal,(Desa 4) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,B
61,Potensi Psikologis,Penalaran Numerik,"(Kelurahan A) Jika 8 pekerja menyelesaikan perbaikan bangunan sederhana dalam 12 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",16 hari,18 hari,20 hari,14 hari,A
62,Potensi Psikologis,Penalaran Verbal,(Kelurahan B) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Bangunan dengan akses air bersih selalu layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,A
63,Potensi Psikologis,Berpikir Sistem,"(Kelurahan C) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Fokus satu komponen dan abaikan lainnya,Mengoptimalkan komponen termudah terlebih dahulu,Menunda keputusan sampai semua data sempurna,A
64,Potensi Psikologis,Penalaran Verbal,(Kecamatan X) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,B
65,Potensi Psikologis,Logika Analitik,(Kecamatan Y) Anda menerima dua penugasan prioritas terkait uji material dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Mendelegasikan seluruh penugasan ke rekan lain,Menjalankan salah satu penugasan tanpa komunikasi,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
66,Potensi Psikologis,Berpikir Sistem,"(Kecamatan Z) Dalam penyusunan site plan, terdapat keterkaitan drainase, akses jalan, dan zonasi. Pendekatan paling tepat untuk mengoptimalkan keseluruhan sistem adalah ....",Menganalisis keterkaitan antar komponen dan melakukan penyesuaian iteratif,Menunda keputusan sampai semua data sempurna,Mengoptimalkan komponen termudah terlebih dahulu,Fokus satu komponen dan abaikan lainnya,A
67,Potensi Psikologis,Penalaran Numerik,"(Desa 1) Jika 12 pekerja menyelesaikan pembangunan rumah dalam 9 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",20 hari,16 hari,22 hari,18 hari,D
68,Potensi Psikologis,Penalaran Numerik,"(Desa 2) Jika 6 pekerja menyelesaikan pembangunan rumah dalam 12 hari, maka 4 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",20 hari,18 hari,16 hari,22 hari,B
69,Potensi Psikologis,Logika Analitik,(Desa 3) Anda menerima dua penugasan prioritas terkait pengawasan pekerjaan dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menjalankan salah satu penugasan tanpa komunikasi,Menunggu arahan atasan secara rinci,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Mendelegasikan seluruh penugasan ke rekan lain,C
70,Potensi Psikologis,Penalaran Numerik,"(Desa 4) Jika 12 pekerja menyelesaikan perbaikan bangunan sederhana dalam 9 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",18 hari,22 hari,16 hari,20 hari,A
71,Potensi Psikologis,Penalaran Verbal,(Kelurahan A) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Bangunan dengan akses air bersih selalu layak huni,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,D
72,Potensi Psikologis,Logika Analitik,(Kelurahan B) Anda menerima dua penugasan prioritas terkait site plan perumahan dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menunggu arahan atasan secara rinci,Menjalankan salah satu penugasan tanpa komunikasi,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",Mendelegasikan seluruh penugasan ke rekan lain,C
73,Potensi Psikologis,Logika Analitik,(Kelurahan C) Anda menerima dua penugasan prioritas terkait sinkronisasi GIS dengan batas waktu yang sama. Langkah pertama yang paling tepat adalah ....,Menjalankan salah satu penugasan tanpa komunikasi,Menunggu arahan atasan secara rinci,Mendelegasikan seluruh penugasan ke rekan lain,"Menyusun skala prioritas berdasar urgensi, dampak, dan sumber daya",D
74,Potensi Psikologis,Penalaran Verbal,(Kecamatan X) Dari sebuah pernyataan dinas disebutkan bahwa 'setiap bangunan layak huni harus memiliki akses air bersih'. Kesimpulan yang tepat adalah ....,Sebagian bangunan tanpa akses air bersih tetap dapat layak huni,Akses air bersih belum cukup untuk memenuhi seluruh kriteria kelayakan,Semua bangunan tanpa akses air bersih pasti tidak layak huni,Bangunan dengan akses air bersih selalu layak huni,B
75,Potensi Psikologis,Penalaran Numerik,"(Kecamatan Y) Jika 8 pekerja menyelesaikan perbaikan bangunan sederhana dalam 12 hari, maka 6 pekerja dengan kemampuan sama akan menyelesaikannya dalam waktu ....",14 hari,16 hari,20 hari,18 hari,B
